feature,importance
bedrooms,0.33469174704652294
bathrooms,0.16189477065409769
room_type_Entire home/apt,0.08278892329138947
accommodates,0.06122247305256279
longitude,0.049912258489586046
latitude,0.025984090452287077
minimum_nights,0.01674808237525453
property_type_grouped_Room in hotel,0.014459544355595717
dist_to_lax_airport,0.01426722157276307
bath_per_person,0.013906935632940267
availability_365,0.013599513248958209
dist_to_santa_monica_beach,0.012530636519003826
review_scores_rating,0.010551863665449475
host_never_responded,0.00972962187269031
min_dist_to_landmark,0.009170352272768276
number_of_reviews,0.009067605325516821
dist_to_downtown_la,0.008943465372999887
room_type_Shared room,0.008859367320130412
dist_to_hollywood,0.008753168321823155
dist_to_beverly_hills,0.008115990009736406
host_tenure_years,0.007878326193999578
license_status_none,0.00786821645180552
dist_to_venice_beach,0.007230120683133414
host_tenure_days,0.007194327731852969
host_join_month,0.007046605344772349
neighbourhood_cleansed_Malibu,0.0061390671965181704
property_type_grouped_Entire villa,0.004594160595952999
property_type_grouped_Entire home,0.0041858710562334206
host_response_rate,0.004166415341276192
room_type_Hotel room,0.004059366728618645
room_density,0.0036680955191310443
property_type_grouped_Room in boutique hotel,0.00350143372363873
license_status_registered,0.003246601177675985
property_type_grouped_Entire serviced apartment,0.003167586787078823
property_type_grouped_Entire rental unit,0.002670466408812855
neighbourhood_cleansed_Rancho Palos Verdes,0.0022639453458453054
neighbourhood_group_cleansed_City of Los Angeles,0.001974560379881778
beds_per_bedroom,0.001955955071346658
host_join_year,0.0016465120557899377
neighbourhood_cleansed_Hollywood Hills West,0.0016043985906174598
neighbourhood_cleansed_Hollywood Hills,0.0015459824580948457
neighbourhood_cleansed_Pasadena,0.0013512094944443736
neighbourhood_cleansed_Manhattan Beach,0.0012178494760491014
beds,0.0011945062533353882
property_type_grouped_Entire townhouse,0.001180930079559844
instant_bookable,0.0011389814599809284
neighbourhood_cleansed_Studio City,0.0011068259529324598
neighbourhood_cleansed_Burbank,0.0010776949552193742
host_response_time_within an hour,0.0009835979281636912
property_type_grouped_Private room in home,0.000803536621003691
neighbourhood_cleansed_West Adams,0.0007897652901834637
neighbourhood_cleansed_Koreatown,0.0007857444566915764
host_is_superhost,0.0007720210786512279
property_type_grouped_Shared room in home,0.0007320951601833982
room_type_Private room,0.0007277412121163647
neighbourhood_group_cleansed_Other Cities,0.0006923586376834639
property_type_grouped_Tiny home,0.0006684402831052293
property_type_grouped_Camper/RV,0.000665815456664218
property_type_grouped_Other,0.0005685713296000948
host_response_time_within a few hours,0.0005684515308591511
neighbourhood_cleansed_Vermont Square,0.0005673605303713584
neighbourhood_cleansed_Westlake,0.0005337199799323082
neighbourhood_cleansed_Avalon,0.0005246416483631277
property_type_grouped_Private room in rental unit,0.0004671790124840121
neighbourhood_cleansed_Alhambra,0.0004334374582397269
neighbourhood_cleansed_Mid-City,0.00038737627301603213
neighbourhood_cleansed_Atwater Village,0.00037339121466324057
host_response_time_a few days or more,0.00037267608440090945
neighbourhood_cleansed_Culver City,0.00036714814610372393
neighbourhood_cleansed_Cypress Park,0.00036022837144765555
license_status_exempt,0.0003594975663044494
neighbourhood_cleansed_Glendale,0.00034538371605785846
neighbourhood_cleansed_Silver Lake,0.0003380356841194511
neighbourhood_cleansed_Commerce,0.0003180238674271871
property_type_grouped_Private room in villa,0.00030991662564021783
neighbourhood_cleansed_Mount Washington,0.00030797390806249744
host_response_time_within a day,0.0002848712763991881
neighbourhood_cleansed_Southeast Antelope Valley,0.0002798406039813568
neighbourhood_cleansed_Baldwin Hills/Crenshaw,0.00026946384698103864
property_type_grouped_Entire guest suite,0.0002652736176110575
property_type_grouped_Entire place,0.0002652447508535299
neighbourhood_cleansed_Monterey Park,0.00024762334702462354
neighbourhood_cleansed_La Habra Heights,0.00024474513134979637
neighbourhood_cleansed_Los Feliz,0.0002429273916160771
neighbourhood_cleansed_Beverly Hills,0.00024266861502830343
neighbourhood_cleansed_La Canada Flintridge,0.00023875708180328464
neighbourhood_cleansed_Pacific Palisades,0.0002310038890506231
property_type_grouped_Entire guesthouse,0.00023035487073624946
neighbourhood_cleansed_Monrovia,0.00022404689070214893
neighbourhood_cleansed_Ladera Heights,0.00022261484995618353
neighbourhood_cleansed_Pico-Union,0.00021733525002355403
neighbourhood_cleansed_Hermosa Beach,0.00021496305444212752
neighbourhood_cleansed_Westwood,0.0002126969162745788
neighbourhood_cleansed_Downtown,0.00021183406975792903
neighbourhood_cleansed_Mid-Wilshire,0.0002094904820766343
neighbourhood_cleansed_South Whittier,0.00020169447255930076
neighbourhood_cleansed_Arleta,0.00018451731660563804
neighbourhood_cleansed_Unincorporated Santa Monica Mountains,0.00017360273868835262
neighbourhood_cleansed_Lakewood,0.00017167274190316368
neighbourhood_cleansed_Agua Dulce,0.00016942366154665348
neighbourhood_cleansed_Boyle Heights,0.00016093952328875778
neighbourhood_cleansed_Altadena,0.000157265813952805
neighbourhood_cleansed_South Pasadena,0.00015673940157510623
property_type_grouped_Private room in bed and breakfast,0.0001560478531246727
neighbourhood_cleansed_Woodland Hills,0.000155371325522918
neighbourhood_cleansed_North Hollywood,0.00015472671714614626
neighbourhood_cleansed_Topanga,0.00015355915092833518
neighbourhood_cleansed_Acton,0.00015108728951286103
property_type_grouped_Entire loft,0.00014201777697760216
neighbourhood_cleansed_Rowland Heights,0.0001376731065659121
neighbourhood_cleansed_Sawtelle,0.00013544662123017977
neighbourhood_cleansed_Santa Clarita,0.00013349076818156347
neighbourhood_cleansed_Beverly Crest,0.00012851665749390913
neighbourhood_cleansed_Beverly Grove,0.00012733843971521295
property_type_grouped_Entire condo,0.0001248092857471573
property_type_grouped_Entire bungalow,0.00012112061232018434
neighbourhood_cleansed_Claremont,0.00011926420358950345
neighbourhood_cleansed_Valley Glen,0.00011460957263175679
neighbourhood_cleansed_Veterans Administration,0.00011345636414284171
neighbourhood_cleansed_Vernon,0.00011275613050651693
neighbourhood_cleansed_East Hollywood,0.00010830842135062996
neighbourhood_cleansed_Athens,0.00010805377971246086
neighbourhood_cleansed_Paramount,0.00010649335085380778
property_type_grouped_Private room in guest suite,0.00010624728561470867
neighbourhood_cleansed_West Hollywood,0.0001059367801250074
neighbourhood_cleansed_Reseda,0.00010358655307136657
neighbourhood_cleansed_El Monte,9.988687908742339e-05
neighbourhood_cleansed_Echo Park,9.903624330790562e-05
property_type_grouped_Entire cabin,9.846430264688649e-05
neighbourhood_cleansed_Playa Vista,9.532186765952838e-05
neighbourhood_cleansed_Watts,9.509643722659342e-05
property_type_grouped_Private room in condo,9.214273389076771e-05
neighbourhood_cleansed_Whittier,8.559271361643588e-05
property_type_grouped_Entire vacation home,8.556848406352333e-05
neighbourhood_cleansed_Redondo Beach,8.377893468624225e-05
neighbourhood_cleansed_Sierra Madre,8.261450370411059e-05
neighbourhood_cleansed_Gramercy Park,8.230368331752821e-05
property_type_grouped_Private room,8.174563896836417e-05
neighbourhood_cleansed_Rolling Hills Estates,8.080998830450755e-05
neighbourhood_cleansed_Arcadia,7.99594200650692e-05
property_type_grouped_Shared room in rental unit,7.882389461241563e-05
neighbourhood_cleansed_Palms,7.40762354400654e-05
neighbourhood_cleansed_Bell,7.380957994161557e-05
neighbourhood_cleansed_San Dimas,7.169982838353639e-05
neighbourhood_cleansed_Hyde Park,7.051722366396252e-05
neighbourhood_cleansed_Tujunga Canyons,7.017884570925991e-05
neighbourhood_cleansed_Historic South-Central,6.745059897043292e-05
neighbourhood_cleansed_Covina,6.719557668648452e-05
neighbourhood_cleansed_Huntington Park,6.67986716704417e-05
neighbourhood_cleansed_Westmont,6.516169810749799e-05
neighbourhood_cleansed_La Crescenta-Montrose,6.448263927904723e-05
neighbourhood_cleansed_San Pedro,6.38505537998646e-05
neighbourhood_cleansed_Marina del Rey,6.379204818010498e-05
neighbourhood_cleansed_Broadway-Manchester,6.264462315059905e-05
neighbourhood_cleansed_El Sereno,6.220387364317222e-05
neighbourhood_cleansed_West Covina,6.085882769571641e-05
neighbourhood_cleansed_Carson,6.045001590199096e-05
neighbourhood_cleansed_San Gabriel,6.0433797027681425e-05
neighbourhood_cleansed_Bel-Air,5.987619800146213e-05
neighbourhood_cleansed_Santa Monica,5.969783849909561e-05
neighbourhood_cleansed_Sherman Oaks,5.954504315277337e-05
property_type_grouped_Room in aparthotel,5.7249530440572e-05
neighbourhood_cleansed_East San Gabriel,5.667900799287544e-05
neighbourhood_cleansed_Westchester,5.632165777555446e-05
neighbourhood_cleansed_Calabasas,5.538708017011443e-05
neighbourhood_cleansed_Mar Vista,5.4490146800026164e-05
neighbourhood_cleansed_Montebello,5.3263543076290306e-05
neighbourhood_cleansed_Central-Alameda,5.2368995048475613e-05
neighbourhood_cleansed_View Park-Windsor Hills,5.128259736224271e-05
neighbourhood_cleansed_Larchmont,5.073987261446439e-05
neighbourhood_cleansed_Bellflower,4.943734709842426e-05
neighbourhood_cleansed_Lake View Terrace,4.942354460668195e-05
neighbourhood_cleansed_Palos Verdes Estates,4.8072005581649776e-05
neighbourhood_cleansed_Van Nuys,4.797931974765099e-05
neighbourhood_cleansed_East Los Angeles,4.789267733941302e-05
neighbourhood_group_cleansed_Unincorporated Areas,4.787112958089306e-05
property_type_grouped_Private room in bungalow,4.6701239559763905e-05
neighbourhood_cleansed_Inglewood,4.326410859469758e-05
neighbourhood_cleansed_Universal City,3.917305136492831e-05
neighbourhood_cleansed_Downey,3.915541231676669e-05
neighbourhood_cleansed_Canoga Park,3.8476329874226e-05
neighbourhood_cleansed_Mayflower Village,3.759119492386707e-05
neighbourhood_cleansed_University Park,3.754122181090265e-05
neighbourhood_cleansed_Century City,3.471400782748846e-05
neighbourhood_cleansed_Temple City,3.3659005672986296e-05
neighbourhood_cleansed_Florence,3.2917207640933775e-05
neighbourhood_cleansed_Santa Fe Springs,3.28083649431118e-05
neighbourhood_cleansed_Florence-Firestone,3.0836343461351666e-05
neighbourhood_cleansed_East Pasadena,3.032030147102096e-05
neighbourhood_cleansed_Granada Hills,3.008757443920172e-05
neighbourhood_cleansed_El Segundo,2.9337262431266124e-05
neighbourhood_cleansed_Compton,2.930790037040067e-05
neighbourhood_cleansed_Encino,2.791884818372784e-05
neighbourhood_cleansed_Cerritos,2.6963769773460495e-05
property_type_grouped_Private room in guesthouse,2.530573544412547e-05
neighbourhood_cleansed_La Mirada,2.5103150232992394e-05
neighbourhood_cleansed_West Hills,2.5086554038042535e-05
neighbourhood_cleansed_Carthay,2.4343667584389747e-05
neighbourhood_cleansed_Sunland,2.434349798131344e-05
neighbourhood_cleansed_Sylmar,2.4189491910599627e-05
neighbourhood_cleansed_San Fernando,2.3952552121230957e-05
neighbourhood_cleansed_Tarzana,2.3403623572429003e-05
property_type_grouped_Private room in townhouse,2.329719668773064e-05
neighbourhood_cleansed_La Puente,2.2109258733780885e-05
neighbourhood_cleansed_Northeast Antelope Valley,2.2073204946327016e-05
neighbourhood_cleansed_Harbor Gateway,2.2062945915067106e-05
neighbourhood_cleansed_Cheviot Hills,2.1889575443210643e-05
neighbourhood_cleansed_Elysian Valley,2.178180047992347e-05
neighbourhood_cleansed_Lincoln Heights,2.113111450254285e-05
neighbourhood_cleansed_Artesia,2.1067613469654233e-05
neighbourhood_cleansed_West Los Angeles,2.052533935460847e-05
neighbourhood_cleansed_Hollywood,1.9469662630886877e-05
neighbourhood_cleansed_South San Gabriel,1.84566699394786e-05
neighbourhood_cleansed_Sun Valley,1.806934393793404e-05
neighbourhood_cleansed_Pico-Robertson,1.793699439749974e-05
neighbourhood_cleansed_Long Beach,1.727377165550578e-05
neighbourhood_cleansed_Chatsworth,1.6651075060310703e-05
neighbourhood_cleansed_Del Rey,1.644366324742569e-05
neighbourhood_cleansed_Hacienda Heights,1.6252518363294142e-05
neighbourhood_cleansed_West Puente Valley,1.6186782127134773e-05
neighbourhood_cleansed_Palmdale,1.4997596929896835e-05
neighbourhood_cleansed_Pomona,1.4461102804703106e-05
neighbourhood_cleansed_Unincorporated Catalina Island,1.4444219735083501e-05
neighbourhood_cleansed_West Compton,1.4350277019502787e-05
neighbourhood_cleansed_La Verne,1.4348589297493125e-05
neighbourhood_cleansed_Rosemead,1.3812378071365018e-05
neighbourhood_cleansed_Pacoima,1.3626627390452412e-05
neighbourhood_cleansed_Manchester Square,1.3190119953659687e-05
neighbourhood_cleansed_Vermont-Slauson,1.269922057569301e-05
neighbourhood_cleansed_Windsor Square,1.2657440813503881e-05
neighbourhood_cleansed_South El Monte,1.2241213463922469e-05
neighbourhood_cleansed_Lake Hughes,1.145801493181869e-05
neighbourhood_cleansed_Exposition Park,1.1314733449697217e-05
neighbourhood_cleansed_Gardena,1.0598971768862222e-05
neighbourhood_cleansed_Agoura Hills,1.0336824794167837e-05
neighbourhood_cleansed_Wilmington,9.668023991812292e-06
neighbourhood_cleansed_Vermont Knolls,9.665244648708616e-06
neighbourhood_cleansed_Hancock Park,9.13339423188377e-06
neighbourhood_cleansed_West Carson,8.75539445983334e-06
neighbourhood_cleansed_Jefferson Park,8.65742089774703e-06
neighbourhood_cleansed_Torrance,8.326653928842589e-06
neighbourhood_cleansed_Lawndale,8.195233256939323e-06
neighbourhood_cleansed_Unincorporated Santa Susana Mountains,7.86286618520993e-06
neighbourhood_cleansed_Winnetka,7.438218346061586e-06
neighbourhood_cleansed_Montecito Heights,7.41150285295362e-06
neighbourhood_cleansed_Shadow Hills,7.350434026159229e-06
neighbourhood_cleansed_Duarte,6.305655655668566e-06
neighbourhood_cleansed_Lake Balboa,5.776399616838239e-06
neighbourhood_cleansed_Lake Los Angeles,5.682383271993889e-06
neighbourhood_cleansed_Arlington Heights,5.363022182643615e-06
neighbourhood_cleansed_Harvard Heights,5.146130806645109e-06
neighbourhood_cleansed_Angeles Crest,4.552882819091487e-06
neighbourhood_cleansed_Alondra Park,4.479169080995352e-06
neighbourhood_cleansed_Glassell Park,4.382437112681221e-06
neighbourhood_cleansed_Hasley Canyon,4.350861105306192e-06
neighbourhood_cleansed_Glendora,4.350504209640904e-06
neighbourhood_cleansed_Valley Village,4.191630377545541e-06
neighbourhood_cleansed_Tujunga,4.154132558338195e-06
neighbourhood_cleansed_South Park,4.140635964075358e-06
neighbourhood_cleansed_Venice,4.065995298739046e-06
neighbourhood_cleansed_Brentwood,4.061882748664185e-06
neighbourhood_cleansed_Porter Ranch,4.026577528661593e-06
neighbourhood_cleansed_Green Meadows,3.4928441376681e-06
neighbourhood_cleansed_Panorama City,3.178828116926004e-06
neighbourhood_cleansed_Griffith Park,2.8431540495427633e-06
neighbourhood_cleansed_Baldwin Park,2.652595911947729e-06
neighbourhood_cleansed_Lancaster,1.9915957596682176e-06
neighbourhood_cleansed_Westlake Village,4.987974020616968e-07
neighbourhood_cleansed_Ridge Route,3.9343767901150494e-07
neighbourhood_cleansed_Northwest Antelope Valley,1.0640984160954077e-07
property_type_grouped_Shared room in hostel,3.841360022076839e-10
property_type_grouped_Private room in hostel,0.0
neighbourhood_cleansed_Beverlywood,0.0
neighbourhood_cleansed_West Whittier-Los Nietos,0.0
neighbourhood_cleansed_Willowbrook,0.0
neighbourhood_cleansed_Avocado Heights,0.0
property_type_grouped_Farm stay,0.0
neighbourhood_cleansed_Azusa,0.0
neighbourhood_cleansed_Adams-Normandie,0.0
property_type_grouped_Entire cottage,0.0
neighbourhood_cleansed_Bell Gardens,0.0
neighbourhood_cleansed_Cudahy,0.0
neighbourhood_cleansed_Walnut Park,0.0
neighbourhood_cleansed_Walnut,0.0
neighbourhood_cleansed_Chatsworth Reservoir,0.0
neighbourhood_cleansed_Chesterfield Square,0.0
neighbourhood_cleansed_Chinatown,0.0
neighbourhood_cleansed_Lynwood,0.0
neighbourhood_cleansed_Lopez/Kagel Canyons,0.0
neighbourhood_cleansed_Lomita,0.0
neighbourhood_cleansed_Leona Valley,0.0
neighbourhood_cleansed_Lennox,0.0
neighbourhood_cleansed_Leimert Park,0.0
neighbourhood_cleansed_Citrus,0.0
neighbourhood_cleansed_Irwindale,0.0
neighbourhood_cleansed_Industry,0.0
neighbourhood_cleansed_Highland Park,0.0
neighbourhood_cleansed_Hidden Hills,0.0
neighbourhood_cleansed_Hawthorne,0.0
neighbourhood_cleansed_Hawaiian Gardens,0.0
neighbourhood_cleansed_Harvard Park,0.0
neighbourhood_cleansed_Harbor City,0.0
neighbourhood_cleansed_Green Valley,0.0
neighbourhood_cleansed_Fairfax,0.0
neighbourhood_cleansed_Elysian Park,0.0
neighbourhood_cleansed_Elizabeth Lake,0.0
neighbourhood_cleansed_East Whittier,0.0
neighbourhood_cleansed_East Compton,0.0
neighbourhood_cleansed_Eagle Rock,0.0
neighbourhood_cleansed_Diamond Bar,0.0
neighbourhood_cleansed_Desert View Highlands,0.0
neighbourhood_cleansed_Mission Hills,0.0
neighbourhood_cleansed_Charter Oak,0.0
neighbourhood_cleansed_North El Monte,0.0
neighbourhood_cleansed_Sepulveda Basin,0.0
neighbourhood_cleansed_Vincent,0.0
neighbourhood_cleansed_Vermont Vista,0.0
neighbourhood_cleansed_Valinda,0.0
neighbourhood_cleansed_Val Verde,0.0
neighbourhood_cleansed_Toluca Lake,0.0
neighbourhood_cleansed_Sun Village,0.0
neighbourhood_cleansed_Castaic,0.0
neighbourhood_cleansed_Stevenson Ranch,0.0
neighbourhood_cleansed_Castaic Canyons,0.0
neighbourhood_cleansed_South San Jose Hills,0.0
neighbourhood_cleansed_South Gate,0.0
neighbourhood_cleansed_Signal Hill,0.0
neighbourhood_cleansed_San Pasqual,0.0
neighbourhood_cleansed_North Hills,0.0
neighbourhood_cleansed_San Marino,0.0
neighbourhood_cleansed_Del Aire,0.0
neighbourhood_cleansed_Rolling Hills,0.0
neighbourhood_cleansed_Rancho Park,0.0
neighbourhood_cleansed_Rancho Dominguez,0.0
neighbourhood_cleansed_Quartz Hill,0.0
neighbourhood_cleansed_Playa del Rey,0.0
neighbourhood_cleansed_Pico Rivera,0.0
neighbourhood_cleansed_Norwalk,0.0
neighbourhood_cleansed_Northwest Palmdale,0.0
neighbourhood_cleansed_Northridge,0.0
neighbourhood_cleansed_North Whittier,0.0
neighbourhood_cleansed_Maywood,0.0
